name,p_seq_true,bridges,length,fragments_mapped,both_mapped,properpair,good,bases_uncovered,p_not_segmented
TR36-c0_g1_i2,0.876398,4,253,19,15,11,5,7,0.545521
TR37-c0_g1_i1,0.910714,1,337,2,2,2,1,19,0.965387
TR37-c0_g2_i1,0.720463,9,343,22,16,11,5,26,0.714917
TR37-c0_g3_i1,0.862518,3,337,52,48,42,26,4,0.783505
TR38-c0_g1_i1,0.831633,5,356,12,9,9,3,16,0.519611
TR38-c0_g2_i1,0.8625,7,479,21,20,17,6,1,0.907197
TR39-c0_g1_i1,1,0,234,0,0,0,0,234,0.997424
TR39-c0_g2_i1,0.846939,2,233,3,3,2,1,27,0.605026
TR39-c0_g3_i1,0.785281,4,504,16,15,12,4,31,0.873756
TR40-c0_g1_i1,0.818648,0,426,84,76,70,32,0,0.832841
TR41-c0_g1_i1,0.82577,23,335,34,30,26,3,6,0.84718
TR41-c0_g2_i1,0.762662,9,335,36,24,16,7,14,0.411879
TR42-c0_g1_i1,0.847576,0,673,116,108,95,55,18,0.709668
TR43-c0_g1_i1,0.78315,3,361,15,11,9,2,42,0.831855
TR43-c0_g2_i1,0.614286,3,361,17,6,4,0,39,0.898082
TR43-c0_g3_i1,0.803617,1,239,45,32,27,10,1,0.566479
TR44-c0_g1_i1,0.585373,2,229,321,286,149,52,1,0.678505
TR45-c0_g1_i1,0.908571,0,362,3,1,1,1,204,0.975691
TR45-c0_g2_i1,0.839048,2,362,13,9,7,3,7,0.405932
TR45-c0_g3_i1,0.83625,0,806,82,76,69,30,13,0.479956
TR46-c0_g1_i1,0.881552,1,368,69,67,65,37,17,0.636758
TR46-c0_g2_i1,0.85007,0,623,272,238,211,126,4,0.616163
TR46-c0_g3_i1,0.833673,0,367,14,13,10,9,49,0.794055
TR47-c0_g1_i1,0.81186,1,809,23,20,19,10,3,0.984887
TR47-c0_g1_i2,0.843043,3,809,75,71,66,29,3,0.949339
TR47-c0_g2_i1,0.813445,3,230,7,7,6,1,12,0.939518
TR47-c0_g3_i1,0.788571,0,230,22,17,11,5,21,0.600922
TR48-c0_g1_i1,0.838509,0,435,27,25,19,12,16,0.896015
TR49-c0_g1_i1,0.829639,4,1066,1196,1143,1000,556,3,0.753723
TR50-c0_g1_i1,0.841791,0,634,63,58,57,33,14,0.927541
TR50-c0_g2_i1,0.867136,0,810,112,103,95,57,3,0.80042
TR50-c0_g3_i1,0.822222,0,634,9,9,7,3,305,0.631313
TR51-c0_g1_i1,0.833333,1,236,11,11,8,3,6,0.924355
TR51-c1_g1_i1,0.843697,0,235,8,7,7,3,3,0.941194
TR52-c0_g1_i1,0.889862,2,502,92,88,80,51,6,0.819403
TR52-c0_g2_i1,0.879977,3,641,114,114,108,60,18,0.260359
TR52-c0_g3_i1,0.876891,2,642,36,34,30,16,68,0.220425
TR53-c0_g1_i1,0.80691,2,922,91,89,84,41,54,0.177193
TR53-c0_g1_i2,0.842857,2,923,101,97,91,53,6,0.702011
TR53-c0_g2_i1,0.818286,1,822,39,36,31,12,120,0.680572
TR54-c0_g1_i1,0.801993,2,549,17,16,16,6,0,0.961421
TR54-c0_g2_i1,0.872527,0,549,13,10,10,7,60,0.908741
TR54-c1_g1_i1,0.87551,4,509,5,5,3,0,57,0.985699
TR54-c1_g2_i1,0.870156,19,509,50,46,42,9,7,0.879922
TR55-c0_g1_i1,0.843094,5,260,94,85,68,29,2,0.361698
TR55-c0_g2_i1,0.675,2,249,69,58,37,20,0,0.729363
TR56-c0_g1_i1,0.898095,0,737,28,28,26,20,18,0.947445
TR56-c0_g1_i2,0.890087,2,736,93,92,85,55,0,0.878206
TR56-c0_g2_i1,0.850704,0,574,36,32,30,15,5,0.895152
TR56-c0_g3_i1,0.971429,0,471,9,9,8,8,46,0.762123
TR57-c0_g1_i1,0.885421,0,529,103,99,85,58,15,0.731698
TR58-c0_g1_i1,0.803175,1,429,4,1,0,0,56,0.990597
TR58-c0_g2_i1,0.855952,3,564,31,25,22,13,16,0.10078
TR59-c0_g1_i1,0.839056,8,289,46,41,36,18,10,0.642347
TR59-c0_g2_i1,0.706767,0,249,8,1,0,0,50,0.927318
TR60-c0_g1_i1,0.885714,0,747,38,34,31,22,72,0.622982
TR60-c0_g2_i1,0.352381,2,261,14,3,2,1,96,0.0535149
TR61-c0_g1_i1,0.867742,1,933,59,59,54,32,0,0.832619
TR61-c0_g2_i1,0.857983,0,730,47,46,43,24,4,0.774647
TR61-c0_g3_i1,0.880952,0,933,29,26,23,14,55,0.970984
TR62-c0_g1_i1,0.861111,0,534,14,13,13,5,121,0.773819
TR62-c0_g2_i1,0.839931,0,533,33,28,28,13,49,0.541126
TR62-c0_g3_i1,0.82516,3,713,34,29,24,10,3,0.823386
TR63-c0_g1_i1,0.847387,2,644,281,261,216,141,0,0.832484
TR63-c0_g2_i1,0.767196,6,455,7,6,6,0,83,0.483195
TR63-c0_g3_i1,0.832482,58,465,131,108,80,20,6,0.0507597
TR63-c0_g4_i1,0.598768,9,464,70,31,12,5,79,0.304145
TR63-c0_g5_i1,0.839142,3,418,359,300,257,132,0,0.869929
TR64-c0_g1_i1,0.821198,2,381,7,7,6,1,15,0.335845
TR64-c0_g2_i1,0.828571,0,339,0,0,0,0,244,0.983681
TR64-c0_g3_i1,0.812479,2,409,43,40,33,16,30,0.57761
TR65-c0_g1_i1,0.793333,8,399,28,8,0,0,10,0.933776
TR66-c0_g1_i1,0.870061,1,1703,1440,1403,1269,771,18,0.815991
TR67-c0_g1_i1,0.825888,0,1073,190,169,144,74,2,0.925379
TR67-c0_g2_i1,0.852274,3,1310,1833,1765,1552,900,0,0.943772
TR68-c0_g1_i1,0.908815,0,368,25,23,22,13,14,0.871535
TR69-c0_g1_i1,0.710714,0,232,11,9,5,2,7,0.877168
TR70-c0_g1_i1,0.859694,1,722,25,25,24,15,35,0.924731
TR70-c0_g2_i1,0.850582,0,689,65,64,57,37,48,0.498189
TR70-c0_g3_i1,0.831034,1,282,29,23,21,9,0,0.931703
TR71-c0_g1_i1,0.884498,1,314,26,23,21,13,2,0.678907
TR72-c0_g1_i1,0.84137,4,1179,98,97,92,51,14,0.915215
TR72-c0_g1_i2,0.841611,0,1178,74,73,68,38,2,0.901249
TR73-c0_g1_i1,0.804286,0,441,40,39,34,12,26,0.818673
TR74-c0_g1_i1,0.86079,1,610,24,23,19,10,129,0.0745993
TR74-c0_g2_i1,0.88,6,523,20,20,19,8,158,0.076936
TR74-c0_g2_i2,0.829692,6,523,41,39,35,17,0,0.100827
TR75-c0_g1_i1,1,0,249,0,0,0,0,249,0.997424
TR75-c0_g2_i1,0.783333,0,461,135,125,105,51,4,0.77532
TR75-c0_g3_i1,0.730612,0,293,22,18,16,11,0,0.499836
TR76-c0_g1_i1,0.786813,1,554,5,5,4,2,330,0.99581
TR76-c0_g2_i1,0.837949,9,679,93,86,74,41,2,0.891272
TR76-c0_g3_i1,0.830593,0,740,165,160,138,77,1,0.317394
TR77-c0_g1_i1,0.855639,0,241,10,9,9,5,9,0.910146
TR78-c0_g1_i1,0.731973,0,564,22,14,11,5,99,0.101977
TR78-c0_g2_i1,0.848603,3,565,137,126,113,70,6,0.078224
TR79-c0_g1_i1,0.86015,0,226,11,7,7,5,0,0.811595
TR80-c0_g1_i1,0.870308,1,1122,46,46,45,27,57,0.966414
TR80-c0_g2_i1,0.842301,1,1122,76,69,63,37,2,0.951991
TR81-c0_g1_i1,0.711884,4,784,111,86,77,44,0,0.955486
TR82-c0_g1_i1,0.820106,0,402,60,51,42,19,0,0.568938
TR83-c0_g1_i1,0.702484,20,374,52,28,21,4,108,0.370231
TR83-c0_g2_i1,0.801688,67,375,220,160,106,35,6,0.171666
TR84-c0_g1_i1,0.81994,3,1057,141,137,133,79,5,0.908347
TR84-c0_g2_i1,0.839145,1,1058,65,60,54,31,1,0.905161
TR85-c0_g1_i1,0.934286,0,476,1,1,1,1,120,0.98918
TR85-c0_g1_i2,0.924082,7,476,13,12,9,2,37,0.873951
TR86-c0_g1_i1,0.736946,18,313,41,37,34,6,3,0.710173
TR86-c0_g2_i1,0.860714,7,274,9,8,6,0,71,0.917059
TR86-c0_g3_i1,0.830044,2,491,53,46,38,19,0,0.279992
TR87-c0_g1_i1,0.819936,4,1028,135,133,128,59,0,0.325381
TR87-c0_g2_i1,0.847269,0,1027,68,65,58,31,39,0.340855
TR88-c0_g1_i1,0.854,4,2570,441,438,432,256,62,0.753265
TR88-c0_g2_i1,0.846833,25,2569,2048,1949,1776,1054,7,0.571771
TR89-c0_g1_i1,0.849554,8,530,444,397,353,201,0,0.0484193
TR89-c0_g2_i1,0.832288,6,694,354,335,301,153,16,0.161806
TR89-c0_g3_i1,0.812758,6,529,83,74,61,12,34,0.0442641
TR90-c0_g1_i1,0.685714,9,243,22,17,8,1,9,0.82178
TR90-c0_g2_i1,0.714286,0,243,9,6,5,0,92,0.969792
TR91-c0_g1_i1,0.890909,3,379,5,3,3,0,5,0.645842
TR91-c0_g1_i2,1,0,379,0,0,0,0,285,0.997424
TR91-c0_g2_i1,0.932381,7,396,13,12,12,3,35,0.753106
TR91-c0_g2_i2,0.906593,0,396,11,8,7,4,47,0.846343
TR92-c0_g1_i1,0.924762,0,892,13,13,13,8,147,0.983069
TR92-c0_g2_i1,0.841005,0,892,55,52,45,26,21,0.94463
TR92-c0_g3_i1,0.831677,0,390,47,44,39,20,6,0.863385
TR93-c0_g1_i1,0.826601,0,560,64,62,49,25,9,0.813637
TR94-c0_g1_i1,0.8,0,349,2,2,2,1,227,0.96466
TR94-c0_g2_i1,0.868571,0,586,36,33,29,19,0,0.845048
TR95-c0_g1_i1,0.887737,0,783,118,111,100,62,8,0.886569
TR96-c0_g1_i1,0.856956,0,515,77,69,65,37,0,0.102007
TR97-c0_g1_i1,0.808163,0,253,3,3,2,1,38,0.666785
TR97-c0_g2_i1,0.899429,0,273,12,11,11,5,11,0.932896
TR97-c0_g3_i1,0.895833,0,253,26,21,20,8,11,0.800182
TR98-c0_g1_i1,0.783965,2,524,45,30,27,12,25,0.100599
TR98-c0_g2_i1,0.776769,7,524,51,40,34,17,18,0.141354
TR99-c0_g1_i1,0.855349,3,554,182,176,172,95,21,0.719005
TR99-c0_g2_i1,0.845506,2,554,155,146,133,67,14,0.534152
TR100-c0_g1_i1,0.782696,1,554,32,30,27,13,4,0.826636
TR100-c0_g2_i1,0.851636,0,790,139,131,122,66,9,0.725698
TR100-c0_g3_i1,0.866667,0,508,7,7,6,4,116,0.369693
TR101-c0_g1_i1,0.846939,1,537,23,23,17,11,11,0.908036
TR102-c0_g1_i1,0.763455,5,497,21,13,8,3,84,0.121856
TR102-c0_g2_i1,0.856085,5,498,37,31,26,15,10,0.0975741
TR103-c0_g1_i1,0.81459,33,471,38,37,33,2,8,0.77634
TR103-c0_g2_i1,0.794539,49,472,96,69,49,2,9,0.655754
TR104-c0_g1_i1,0.879365,0,480,68,59,56,36,3,0.787586
TR105-c0_g1_i1,0.866023,1,1083,216,212,198,97,8,0.738761
TR105-c0_g2_i1,0.864672,1,652,76,71,66,34,6,0.900705
TR106-c0_g1_i1,0.835204,6,413,19,18,18,8,56,0.0773948
TR106-c0_g2_i1,0.82449,10,412,41,36,25,11,64,0.165979
TR107-c0_g1_i1,0.814805,1,281,56,50,42,19,19,0.737317
TR107-c0_g2_i1,0.835714,0,760,36,32,32,17,1,0.975888
TR107-c0_g3_i1,0.868166,5,760,131,123,109,66,1,0.928502
TR108-c0_g1_i1,0.777409,3,773,20,19,16,8,247,0.55284
TR108-c0_g2_i1,0.814778,0,774,38,37,37,14,15,0.753347
TR108-c0_g3_i1,0.844189,3,817,118,113,104,54,5,0.698921
TR109-c0_g1_i1,0.84026,0,1261,157,149,136,73,6,0.86618
TR110-c0_g1_i1,1,0,757,0,0,0,0,757,0.997424
TR110-c0_g2_i1,0.897143,0,841,40,38,37,25,6,0.926434
TR111-c0_g1_i1,0.822396,180,421,201,189,178,2,1,0.771975
TR111-c0_g2_i1,0.827103,49,422,74,64,51,4,15,0.822125
TR111-c0_g3_i1,0.836949,0,716,370,330,293,156,1,0.952849
TR112-c0_g1_i1,0.896368,0,540,30,29,27,16,24,0.893102
TR113-c0_g1_i1,0.925714,1,308,3,3,2,2,102,0.931935
TR113-c0_g2_i1,0.830067,0,806,93,90,79,48,0,0.783549
TR114-c0_g1_i1,0.903297,0,371,11,10,10,8,43,0.857469
TR114-c0_g2_i1,0.934286,2,370,10,10,9,4,79,0.88503
TR115-c0_g1_i1,0.7477,6,404,22,16,12,2,12,0.592135
TR115-c0_g2_i1,0.869048,2,404,9,5,4,1,53,0.703986
TR116-c0_g1_i1,0.779832,5,430,14,9,7,1,67,0.379054
TR116-c0_g2_i1,0.76127,9,430,24,22,12,4,14,0.198956
TR117-c0_g1_i1,0.842347,2,548,26,26,24,12,14,0.928397
TR117-c0_g2_i1,0.763265,0,548,3,3,3,0,319,0.996353
TR118-c0_g1_i1,0.88099,0,1242,72,64,54,36,47,0.881874
TR119-c0_g1_i1,0.711688,0,276,5,4,4,1,69,0.916338
TR119-c0_g2_i1,0.865143,0,422,38,37,35,17,11,0.884099
TR119-c0_g3_i1,0.836237,0,276,22,18,16,10,34,0.793732
TR120-c0_g1_i1,0.845238,2,461,2,2,2,0,59,0.987731
TR120-c0_g2_i1,0.823214,2,460,6,6,4,2,73,0.959736
TR121-c0_g1_i1,0.792857,5,430,11,10,9,4,4,0.659464
TR121-c0_g1_i2,0.819913,6,429,13,9,5,0,12,0.928524
TR122-c0_g1_i1,0.847476,4,348,125,119,108,68,6,0.2927
TR122-c0_g2_i1,0.868104,13,769,643,631,559,320,4,0.733163
TR122-c0_g3_i1,0.874772,0,383,44,42,42,24,41,0.506567
TR123-c0_g1_i1,0.906494,0,725,11,11,11,5,109,0.981914
TR123-c0_g2_i1,0.860687,0,725,64,64,60,35,23,0.811803
TR123-c0_g3_i1,0.808466,2,307,5,2,2,0,2,0.889774
TR123-c0_g3_i2,1,0,308,0,0,0,0,308,0.997424
TR124-c0_g1_i1,0.746939,0,368,2,1,1,0,167,0.866924
TR124-c0_g2_i1,0.853314,0,474,51,48,39,27,3,0.541745
TR124-c0_g3_i1,0.80928,1,508,65,59,45,26,0,0.619048
TR125-c0_g1_i1,0.83904,0,748,141,119,108,64,6,0.87653
TR126-c1_g1_i1,0.902646,5,479,7,6,5,0,1,0.973416
TR126-c1_g2_i1,0.821118,8,479,12,9,7,0,70,0.973446
TR127-c0_g1_i1,0.83514,0,552,653,620,531,289,1,0.745365
TR128-c0_g1_i1,0.804939,9,550,189,170,168,69,0,0.6955
TR128-c0_g1_i2,0.824925,23,597,219,214,210,99,11,0.613513
TR128-c0_g1_i3,0.809035,24,597,793,740,644,307,0,0.619805
TR128-c1_g1_i1,0.837179,8,708,556,550,542,295,12,0.727709
TR128-c1_g2_i1,0.82812,9,707,348,327,290,158,0,0.783201
TR129-c0_g1_i1,0.870987,0,645,45,43,43,24,0,0.708806
TR129-c0_g2_i1,0.806633,0,645,27,25,25,5,12,0.865653
TR129-c0_g3_i1,0.966234,0,646,5,4,4,3,393,0.164304
TR130-c0_g1_i1,0.854945,0,352,6,5,5,3,25,0.957863
TR130-c0_g2_i1,0.876692,1,268,11,8,7,4,7,0.905922
TR130-c0_g3_i1,0.874286,0,353,24,21,20,11,4,0.932355
TR131-c0_g1_i1,0.86852,2,877,109,106,95,56,0,0.744239
TR131-c0_g2_i1,0.8247,19,448,61,59,51,19,0,0.0432143
TR131-c0_g3_i1,0.886905,7,457,10,9,7,1,9,0.98253
TR132-c0_g1_i1,0.837037,1,1145,25,25,24,17,27,0.958259
TR132-c0_g2_i1,0.814657,0,1145,79,70,62,30,0,0.977642
TR133-c0_g1_i1,0.783673,1,650,89,86,65,38,15,0.402975
TR134-c0_g1_i1,0.722321,3,323,10,8,4,1,39,0.346288
TR134-c0_g2_i1,0.771173,16,323,54,46,30,9,22,0.392315
TR135-c0_g1_i1,0.854407,3,1886,2436,2369,2118,1175,9,0.823378
TR136-c0_g1_i1,0.868132,1,254,4,2,2,0,8,0.875949
TR136-c0_g2_i1,0.798496,3,254,11,7,7,2,0,0.936768
TR136-c1_g1_i1,0.833929,1,414,17,14,13,8,9,0.637078
TR137-c0_g1_i1,0.981633,0,314,7,7,7,7,0,0.95164
TR138-c0_g1_i1,0.88,0,354,21,20,19,13,28,0.593664
TR138-c0_g2_i1,0.945515,1,380,19,19,19,10,40,0.625173
TR138-c0_g3_i1,0.810714,0,391,8,6,6,4,74,0.965454
TR139-c0_g1_i1,0.849143,0,477,27,23,21,13,0,0.719047
TR140-c0_g1_i1,0.839943,1,1289,151,142,128,73,1,0.946428
TR141-c0_g1_i1,0.44989,21,613,534,529,503,264,1,0.634492
TR141-c0_g2_i1,0.445183,36,612,990,366,229,185,3,0.517406
TR142-c0_g1_i1,0.684249,0,244,23,14,10,6,2,0.489518
TR143-c0_g1_i1,0.837253,47,403,128,108,93,32,1,0.0834541
TR143-c0_g2_i1,0.768952,43,404,133,110,70,31,12,0.359963
TR144-c0_g1_i1,0.794643,0,303,20,14,11,6,21,0.910621
TR145-c0_g1_i1,0.821079,11,632,574,517,457,270,5,0.193996
TR145-c0_g2_i1,0.836737,22,632,1894,1752,1549,879,3,0.306966
TR146-c0_g1_i1,0.815238,4,387,6,6,6,2,176,0.100188
TR146-c0_g2_i1,0.841699,6,388,27,21,13,5,0,0.0478146
TR146-c0_g3_i1,0.835216,11,247,14,11,11,0,7,0.897505
TR146-c0_g3_i2,0.77,1,246,8,2,1,1,4,0.9074
TR147-c0_g1_i1,0.852381,0,247,5,4,3,1,1,0.946497
TR147-c0_g2_i1,0.957143,1,246,3,3,3,1,64,0.983858
TR148-c0_g1_i1,0.820238,0,538,11,9,9,4,9,0.907891
TR148-c0_g2_i1,0.865546,0,538,17,16,15,7,84,0.460602
TR149-c0_g1_i1,1,1,231,2,2,2,1,1,0.981843
TR149-c0_g2_i1,0.917143,0,236,2,1,1,1,45,0.664612
TR150-c0_g1_i1,0.800752,0,250,24,17,14,5,5,0.908736
TR151-c0_g1_i1,0.907143,2,271,56,53,44,29,14,0.828605
TR151-c0_g2_i1,0.863768,10,355,29,28,27,10,3,0.644117
TR151-c0_g3_i1,0.987755,1,270,4,3,3,1,69,0.984042
TR152-c0_g1_i1,1,0,461,0,0,0,0,369,0.997424
TR152-c0_g1_i2,0.834286,0,461,1,0,0,0,15,0.951485
TR152-c0_g2_i1,0.875429,10,415,11,10,9,0,9,0.95204
TR152-c0_g2_i2,1,0,415,0,0,0,0,321,0.997424
TR153-c1_g1_i1,0.814286,5,239,10,9,9,3,14,0.822064
TR153-c1_g2_i1,0.822857,3,240,7,4,3,0,17,0.959534
TR154-c0_g1_i1,0.799386,17,927,1204,1085,977,561,9,0.176201
TR154-c0_g1_i2,0.593968,6,915,41,35,28,5,200,0.213666
TR154-c0_g1_i3,0.832703,91,939,2993,2785,2440,1322,12,0.150965
TR155-c0_g1_i1,0.879592,0,731,27,26,25,16,128,0.916559
TR155-c0_g2_i1,0.933016,1,681,44,43,42,28,8,0.845781
TR156-c0_g1_i1,0.839721,1,389,23,18,17,9,0,0.896766
TR156-c0_g1_i2,0.904926,3,417,32,28,26,15,16,0.829349
TR157-c0_g1_i1,0.704887,2,499,27,25,25,10,3,0.878952
TR157-c0_g1_i2,0.652535,1,319,13,8,8,4,0,0.918089
TR157-c0_g1_i3,0.804482,1,499,26,21,20,14,67,0.803703
TR158-c0_g1_i1,0.773333,0,283,30,27,23,13,22,0.944255
TR159-c0_g1_i1,0.757983,0,262,6,3,3,2,29,0.0813985
TR159-c0_g2_i1,0.88254,1,262,6,5,2,2,52,0.487959
TR160-c0_g1_i1,0.835714,0,306,10,7,5,4,5,0.918549
TR161-c0_g1_i1,0.895238,1,347,2,2,2,1,165,0.939106
TR161-c0_g1_i2,0.847926,5,347,7,7,6,1,5,0.844656
TR161-c0_g2_i1,0.990476,2,265,2,2,2,0,67,0.995644
TR161-c0_g3_i1,0.619048,1,266,2,2,1,0,83,0.864262
TR162-c0_g1_i1,0.781882,12,383,17,15,13,0,72,0.892573
TR162-c0_g2_i1,0.897354,2,361,5,4,2,0,0,0.934567
TR163-c0_g1_i1,0.871429,3,368,10,10,9,5,4,0.581193
TR163-c0_g2_i1,0.80084,3,369,16,10,7,3,39,0.88376
TR164-c0_g1_i1,0.839337,2,626,71,69,61,32,5,0.798696
TR164-c0_g2_i1,0.723077,1,231,9,4,3,1,0,0.697986
TR165-c0_g1_i1,0.838932,0,776,46,45,38,21,40,0.791889
TR165-c0_g2_i1,0.937143,0,231,5,5,5,3,54,0.704176
TR166-c0_g1_i1,0.778426,5,489,9,9,8,2,0,0.886519
TR166-c0_g2_i1,0.916944,6,489,17,15,12,7,8,0.829311
TR167-c0_g1_i1,0.755844,0,253,12,9,8,5,0,0.904643
TR168-c0_g1_i1,0.846154,0,233,23,16,14,6,5,0.755304
TR169-c0_g1_i1,0.851054,3,609,26,24,23,15,32,0.637892
TR169-c0_g2_i1,0.875776,9,502,11,10,10,0,60,0.969596
TR170-c0_g1_i1,0.849636,7,702,1100,1029,990,566,1,0.518027
TR170-c0_g1_i2,0.834166,11,702,589,516,464,263,7,0.487832
TR171-c0_g1_i1,0.819048,0,932,20,20,19,10,1,0.972719
TR171-c0_g1_i2,0.842028,3,895,78,68,60,35,5,0.925541
TR171-c0_g2_i1,0.894286,1,633,74,69,67,45,4,0.611241
TR172-c0_g1_i1,0.769686,0,305,51,38,25,15,0,0.815144
TR173-c0_g1_i1,0.806926,17,331,23,22,17,1,6,0.849055
TR173-c0_g2_i1,0.87619,3,331,7,5,4,1,13,0.951552
TR174-c0_g1_i1,0.781685,2,283,15,12,8,5,24,0.443096
TR174-c0_g2_i1,0.783851,4,283,25,16,8,2,14,0.575461
TR175-c0_g1_i1,0.818719,4,502,15,13,12,4,3,0.390459
TR175-c0_g2_i1,0.778487,15,545,33,32,31,7,14,0.864103
TR175-c0_g2_i2,0.996429,1,509,3,3,3,1,259,0.902285
TR176-c0_g1_i1,0.798319,1,407,4,4,4,2,208,0.236027
