contig_name,length,prop_gc,gc_skew,at_skew,cpg_count,cpg_ratio,orf_length,linguistic_complexity_6,has_crb,reference_coverage,hits
TR20-c0_g2_i1,375,0.432,-0.135802,-0.126761,38,2.212733,70,0.08374,false,NA,NA
TR21-c0_g1_i1,433,0.399538,0.121387,0.138462,33,1.93828,121,0.09375,true,0.445665,F40F9.9
TR21-c0_g1_i2,433,0.406467,0.045455,0.089494,38,2.129141,74,0.096436,false,NA,NA
TR22-c0_g1_i1,310,0.354839,0.127273,-0.06,14,1.458333,39,0.071045,false,NA,NA
TR23-c0_g1_i1,348,0.468391,-0.116564,0.2,43,2.283883,95,0.07373,true,1.007576,F37C12.11
TR24-c0_g1_i1,535,0.353271,-0.079365,-0.138728,25,1.507212,115,0.106689,true,0.895377,T22G5.2
TR24-c0_g2_i1,536,0.363806,-0.087179,-0.13783,27,1.534026,137,0.106934,true,1.004866,T22G5.2
TR25-c0_g1_i1,321,0.314642,0.009901,-0.190909,20,2.517647,29,0.068848,false,NA,NA
TR26-c0_g1_i1,387,0.4677,0.038674,0.029126,39,1.845561,128,0.090332,true,0.44881,Y54G2A.6a
TR26-c0_g2_i1,387,0.465116,0.022222,0.024155,39,1.864254,85,0.090088,true,0.427381,Y54G2A.6a
TR27-c0_g1_i1,859,0.376019,0.040248,0.063433,53,1.748349,137,0.169922,true,0.223312,ZK688.8
TR27-c0_g2_i1,897,0.380156,0.020528,0.061151,57,1.75955,150,0.175537,false,NA,NA
TR28-c0_g1_i1,262,0.477099,-0.04,-0.284672,33,2.216923,71,0.05957,false,NA,NA
TR28-c0_g2_i1,262,0.492366,-0.069767,-0.308271,37,2.341546,87,0.05835,true,0.277778,C01F1.2
TR29-c0_g1_i1,1292,0.380805,0.0,0.0575,78,1.665279,430,0.237549,true,0.842484,F49E8.7a.2
TR29-c0_g2_i1,403,0.369727,-0.060403,0.204724,21,1.53038,89,0.087646,false,NA,NA
TR29-c0_g3_i1,402,0.370647,0.020134,0.16996,22,1.594088,89,0.087891,false,NA,NA
TR30-c0_g1_i1,812,0.438424,0.146067,0.04386,89,2.330624,185,0.167725,true,1.003643,W03F8.4
TR30-c0_g2_i1,811,0.437731,0.149296,0.035088,88,2.316842,185,0.167236,false,NA,NA
TR31-c0_g1_i1,273,0.410256,0.035714,0.304348,18,1.568966,41,0.05957,false,NA,NA
TR31-c0_g2_i1,291,0.436426,0.086614,0.243902,22,1.5997,41,0.063965,false,NA,NA
TR31-c0_g3_i1,291,0.391753,0.052632,0.028249,22,1.975926,38,0.064697,false,NA,NA
TR32-c0_g1_i1,420,0.35,0.129252,-0.018315,21,1.660392,82,0.089355,true,0.677596,K07A1.15
TR32-c0_g2_i1,1044,0.364943,0.070866,-0.134238,67,1.937188,264,0.197754,true,0.980173,K07A1.16a
TR33-c0_g1_i1,239,0.32636,0.179487,0.229814,11,1.786005,51,0.052002,false,NA,NA
TR34-c0_g1_i1,316,0.651899,0.009709,0.563636,35,1.042609,105,0.050293,false,NA,NA
TR35-c0_g1_i1,283,0.473498,-0.014925,-0.020134,27,1.70254,94,0.065918,false,NA,NA
TR35-c0_g2_i1,282,0.475177,0.044776,0.148649,30,1.888393,93,0.065674,false,NA,NA
TR35-c0_g3_i1,271,0.479705,-0.046154,0.191489,34,2.185484,90,0.062256,false,NA,NA
TR36-c0_g1_i1,512,0.386719,-0.040404,-0.216561,30,1.56975,140,0.109863,false,NA,NA
TR36-c0_g1_i2,513,0.387914,0.005025,-0.203822,30,1.554545,170,0.111328,false,NA,NA
TR37-c0_g1_i1,563,0.404973,0.105263,-0.074627,54,2.365546,162,0.122803,true,0.991398,T27F2.3.2
TR37-c0_g2_i1,563,0.40675,0.091703,-0.08982,55,2.381923,155,0.123047,true,1.004301,T27F2.3.2
TR38-c0_g1_i1,586,0.464164,0.0,-0.082803,74,2.344507,194,0.130127,true,0.389333,C47B2.7b
TR38-c0_g2_i1,349,0.415473,-0.048276,-0.098039,36,2.395881,115,0.077393,false,NA,NA
TR39-c0_g1_i1,382,0.272251,0.038462,-0.057554,11,1.556296,32,0.073486,false,NA,NA
TR40-c0_g1_i1,454,0.407489,-0.189189,-0.3829,36,1.981091,92,0.088379,false,NA,NA
TR40-c0_g2_i1,422,0.402844,-0.270588,-0.515873,34,2.142772,140,0.078369,true,0.341544,W05H9.1b.2
TR41-c0_g1_i1,225,0.395556,-0.078652,0.014706,15,1.714939,74,0.051758,true,0.147563,H41C03.3.3
TR42-c0_g1_i1,360,0.330556,-0.058824,-0.128631,17,1.734694,63,0.081055,true,0.140741,F22A3.5
TR42-c0_g2_i1,401,0.349127,-0.085714,-0.042146,22,1.813734,75,0.091064,true,0.210185,F22A3.5
TR43-c0_g1_i1,505,0.394059,0.055276,0.071895,43,2.200101,131,0.108398,true,0.874359,F21C3.3
TR43-c0_g2_i1,505,0.40198,0.024631,0.0,47,2.305264,131,0.108887,true,1.005128,F21C3.3
TR44-c0_g1_i1,444,0.400901,0.011236,-0.022556,23,1.289394,99,0.096436,false,NA,NA
TR45-c0_g1_i1,344,0.325581,-0.035714,0.172414,18,1.977011,51,0.068115,false,NA,NA
TR45-c0_g1_i2,345,0.324638,0.035714,0.184549,18,1.982759,51,0.067383,true,0.153216,Y50D7A.9
TR45-c0_g2_i1,456,0.35307,0.242236,0.213559,26,1.943607,126,0.08667,true,0.328655,Y50D7A.9
TR46-c0_g1_i1,292,0.386986,0.097345,0.01676,19,1.754586,97,0.065674,true,0.222475,F52C9.3
TR46-c0_g2_i1,227,0.334802,-0.026316,0.231788,11,1.730423,30,0.049561,false,NA,NA
TR47-c0_g1_i1,410,0.4,0.012195,0.178862,20,1.219694,121,0.090332,true,0.779915,C56A3.2a
TR48-c0_g1_i1,417,0.513189,-0.242991,-0.093596,54,2.090226,43,0.094727,false,NA,NA
TR49-c0_g1_i1,248,0.467742,-0.068966,-0.015152,21,1.555556,82,0.055176,false,NA,NA
TR49-c0_g2_i1,274,0.452555,-0.080645,0.026667,22,1.578424,91,0.060791,false,NA,NA
TR50-c0_g1_i1,403,0.444169,-0.039106,0.017857,37,1.864341,133,0.092773,true,0.221845,W03G1.7a
TR50-c0_g2_i1,403,0.439206,-0.050847,0.026549,37,1.90873,133,0.092529,true,0.223543,W03G1.7a
TR51-c0_g1_i1,1279,0.398749,0.05098,0.03251,89,1.755134,333,0.239502,true,0.223487,F48E3.3
TR52-c0_g1_i1,1447,0.47132,0.020528,0.082353,172,2.141269,482,0.271484,true,0.307676,F52C12.4h
TR53-c0_g1_i1,1026,0.452242,-0.051724,0.174377,101,1.93044,214,0.204102,true,0.478099,T19C3.8
TR53-c0_g2_i1,1027,0.452775,-0.045161,0.185053,104,1.979906,179,0.204834,false,NA,NA
TR54-c0_g1_i1,709,0.428773,-0.052632,-0.08642,45,1.384766,153,0.148926,true,0.172619,ZK1127.10.2
TR54-c0_g1_i2,709,0.421721,-0.09699,-0.068293,51,1.633198,236,0.144287,true,0.603741,ZK1127.10.2
TR54-c0_g2_i1,451,0.381375,0.116279,0.089606,22,1.359923,105,0.100342,false,NA,NA
TR54-c0_g3_i1,452,0.382743,0.086705,0.11828,22,1.339079,105,0.100342,false,NA,NA
TR55-c0_g1_i1,1005,0.38408,0.0,0.063005,74,1.996564,242,0.198242,true,0.393939,B0285.5
TR56-c0_g1_i1,244,0.377049,-0.065217,0.026316,18,2.08448,42,0.052002,false,NA,NA
TR56-c0_g2_i1,634,0.44795,0.007042,0.0,49,1.540743,80,0.131836,false,NA,NA
TR56-c0_g2_i2,504,0.464286,0.068376,0.037037,40,1.479633,167,0.106689,true,0.267468,Y111B2A.8
TR56-c0_g2_i3,503,0.461233,0.077586,0.077491,40,1.504299,167,0.105713,false,NA,NA
TR56-c0_g2_i4,635,0.450394,0.0,-0.031519,49,1.52159,81,0.132568,false,NA,NA
TR57-c0_g1_i1,282,0.429078,-0.024793,0.180124,22,1.696009,94,0.064453,true,0.387978,C35C5.3a
TR57-c0_g2_i1,689,0.381713,0.079848,0.098592,49,1.964905,139,0.147461,true,0.565452,C35C5.3b
TR57-c0_g3_i1,722,0.375346,0.070111,0.135255,48,1.89688,93,0.151855,true,0.318306,C35C5.3a
TR58-c0_g1_i1,243,0.395062,-0.083333,-0.088435,19,2.01792,57,0.05127,true,0.014062,F53B7.5b
TR58-c0_g2_i1,286,0.370629,-0.09434,-0.044444,19,1.951868,94,0.05957,false,NA,NA
TR59-c0_g1_i1,1033,0.465634,-0.089397,-0.097826,113,2.034386,309,0.208252,true,0.328037,F26G5.9
TR59-c0_g2_i1,1033,0.46273,-0.075314,-0.102703,111,2.018821,309,0.20874,true,0.328037,F26G5.9
TR60-c0_g1_i1,1136,0.37412,-0.101176,-0.068917,65,1.652123,378,0.212646,true,0.253468,F18C5.3
TR61-c0_g1_i1,709,0.382228,0.173432,0.073059,45,1.791611,159,0.150879,true,0.722474,C56A3.4a
TR61-c0_g2_i1,328,0.347561,-0.175439,-0.186916,17,1.770721,69,0.069092,false,NA,NA
TR61-c0_g3_i1,709,0.377997,0.134328,0.011338,42,1.688861,101,0.151611,true,0.622926,C56A3.4a
TR62-c0_g1_i1,370,0.383784,0.042254,0.184211,26,1.911765,80,0.080811,true,0.40536,C30H6.9
TR62-c0_g2_i1,369,0.387534,-0.034965,0.141593,37,2.673913,73,0.085449,true,0.536013,C30H6.9
TR62-c0_g3_i1,353,0.416431,-0.020408,0.126214,39,2.549444,117,0.081787,true,0.59129,C30H6.9
TR63-c0_g1_i1,324,0.29321,-0.031579,0.152838,22,3.162378,59,0.068604,false,NA,NA
TR63-c0_g2_i1,510,0.319608,0.018405,-0.072046,28,2.150602,101,0.108643,false,NA,NA
TR64-c0_g1_i1,831,0.362214,-0.009967,0.0,44,1.614447,31,0.169922,false,NA,NA
TR64-c0_g2_i1,1243,0.389381,-0.194215,-0.146245,82,1.808642,127,0.227295,false,NA,NA
TR65-c0_g1_i1,372,0.545699,-0.320197,-0.171598,48,1.931213,88,0.073242,true,0.192536,C04C3.5c
TR65-c0_g2_i1,323,0.566563,-0.355191,-0.242857,44,1.942592,107,0.0625,true,0.322256,C04C3.5a
TR66-c0_g1_i1,268,0.432836,0.310345,-0.184211,13,1.146053,89,0.056885,false,NA,NA
TR66-c0_g2_i1,267,0.434457,0.310345,-0.099338,13,1.141776,88,0.057129,false,NA,NA
TR66-c0_g3_i1,1235,0.464777,0.073171,-0.225416,146,2.200835,411,0.227539,true,0.780142,F54A3.6
TR67-c0_g1_i1,401,0.316708,-0.007874,-0.072993,18,1.790179,69,0.084473,true,0.188307,F22D3.4
TR68-c0_g1_i1,1197,0.387636,0.125,0.135061,72,1.626635,399,0.223145,true,0.265207,F02E9.4b
TR68-c0_g2_i1,285,0.396491,-0.079646,-0.22093,23,2.06652,94,0.063965,false,NA,NA
TR68-c0_g3_i1,328,0.396341,0.030769,-0.090909,23,1.787254,109,0.073975,false,NA,NA
TR69-c0_g1_i1,345,0.371014,-0.0625,-0.023041,25,2.113971,93,0.076904,true,0.207687,F26A1.13
TR69-c0_g2_i1,345,0.365217,-0.031746,0.059361,26,2.262295,93,0.076416,false,NA,NA
TR70-c0_g1_i1,296,0.385135,-0.175439,0.043956,12,1.127977,62,0.065186,false,NA,NA
TR70-c0_g2_i1,297,0.373737,-0.117117,-0.139785,12,1.17314,98,0.065674,false,NA,NA
TR70-c0_g3_i1,233,0.373391,-0.172414,0.0,10,1.269063,77,0.052734,false,NA,NA
TR71-c0_g1_i1,294,0.360544,0.264151,0.053191,18,2.025258,98,0.064697,true,0.315229,T12B5.1
TR71-c0_g2_i1,383,0.389034,0.181208,0.051282,24,1.71237,127,0.085693,false,NA,NA
TR72-c0_g1_i1,568,0.445423,-0.083004,-0.12381,48,1.71558,188,0.126709,true,0.247388,C03H12.1d
TR72-c0_g2_i1,567,0.446208,-0.083004,-0.127389,48,1.71256,126,0.126465,true,0.151391,C03H12.1a
TR73-c0_g1_i1,256,0.398438,-0.019608,-0.12987,24,2.363077,74,0.057129,false,NA,NA
TR73-c0_g2_i1,255,0.415686,0.018868,-0.060403,24,2.179487,76,0.056641,false,NA,NA
TR74-c0_g1_i1,964,0.411826,0.027708,-0.068783,89,2.179112,199,0.194336,true,0.875571,ZK795.3
TR74-c0_g2_i1,964,0.404564,-0.010256,-0.094077,82,2.079062,280,0.192139,true,0.961187,ZK795.3
TR75-c0_g1_i1,249,0.401606,0.24,0.114094,23,2.430815,83,0.058105,false,NA,NA
TR76-c0_g1_i1,454,0.407489,-0.07027,0.026022,33,1.75969,127,0.101318,true,0.257912,ZK792.4b
TR77-c0_g1_i1,246,0.390244,0.083333,0.093333,13,1.397727,66,0.056396,true,0.158999,F32B6.9
TR77-c0_g2_i1,247,0.40081,0.010101,0.040541,16,1.613061,81,0.056885,true,0.19774,F32B6.9
TR78-c0_g1_i1,367,0.438692,-0.204969,0.038835,33,1.95087,91,0.081055,true,0.497436,E01G4.3a
TR78-c0_g2_i1,583,0.444254,-0.142857,0.030864,60,2.129291,118,0.124512,true,0.697133,E01G4.3c
TR79-c0_g1_i1,344,0.424419,-0.287671,-0.121212,22,1.548282,114,0.076172,false,NA,NA
TR80-c0_g1_i1,511,0.422701,-0.222222,-0.091525,33,1.520833,69,0.10498,false,NA,NA
TR80-c0_g2_i1,512,0.421875,-0.222222,-0.094595,33,1.52381,74,0.10498,false,NA,NA
TR81-c0_g1_i1,895,0.47486,0.091765,0.161702,97,1.938874,298,0.170654,true,0.059469,ZK1151.1c
TR82-c0_g1_i1,824,0.478155,0.116751,0.037209,89,1.915778,274,0.177734,true,0.372682,R11E3.8a.2
TR83-c0_g1_i1,454,0.464758,-0.090047,-0.135802,40,1.644928,151,0.10083,false,NA,NA
TR83-c0_g2_i1,455,0.47033,-0.074766,-0.145228,42,1.678524,151,0.101318,false,NA,NA
TR83-c0_g3_i1,454,0.46696,-0.084906,-0.140496,41,1.668669,151,0.101074,false,NA,NA
TR84-c0_g1_i1,234,0.448718,0.142857,-0.147287,32,2.773333,42,0.052734,false,NA,NA
TR85-c0_g1_i1,537,0.454376,-0.032787,-0.003413,64,2.311542,161,0.120361,true,0.64986,F26H11.5
TR85-c0_g2_i1,681,0.452276,0.025974,0.088472,78,2.241266,209,0.14502,true,0.880952,F26H11.5
TR86-c0_g1_i1,531,0.446328,0.139241,0.081633,50,1.928105,155,0.116943,false,NA,NA
TR86-c0_g2_i1,531,0.442561,0.106383,0.074324,50,1.945055,155,0.114502,false,NA,NA
TR87-c0_g1_i1,626,0.361022,-0.159292,0.03,33,1.659944,149,0.132568,true,0.370462,Y57G11C.31.2
TR87-c0_g2_i1,625,0.36,-0.146667,0.04,31,1.564519,159,0.132324,true,0.395215,Y57G11C.31.2
TR88-c0_g1_i1,253,0.438735,0.117117,-0.15493,19,1.582291,84,0.057129,true,0.190757,T27C10.3
TR88-c0_g2_i1,562,0.395018,0.126126,-0.123529,45,2.085773,121,0.124023,true,0.358899,T27C10.3
TR88-c0_g3_i1,233,0.390558,0.340659,-0.042254,19,2.419126,77,0.049316,false,NA,NA
TR88-c0_g4_i1,253,0.434783,0.090909,-0.258741,22,1.855333,84,0.056152,true,0.249754,T27C10.3
TR88-c0_g5_i1,230,0.421739,-0.113402,0.037594,24,2.377261,76,0.05249,false,NA,NA
TR88-c0_g5_i2,230,0.426087,-0.040816,0.045455,25,2.398832,76,0.05249,true,0.199607,T27C10.3
TR89-c0_g1_i1,797,0.495609,0.058228,-0.014925,95,1.947703,251,0.16748,true,0.784008,Y49E10.3a
TR89-c0_g2_i1,297,0.430976,-0.109375,0.065089,41,3.008895,88,0.062256,false,NA,NA
TR89-c0_g2_i2,416,0.379808,0.075949,0.062016,40,2.681708,93,0.087158,true,0.241952,Y49E10.3a
TR89-c0_g2_i3,264,0.431818,-0.105263,0.12,36,2.957983,88,0.056152,true,0.241952,Y49E10.3a
TR89-c0_g2_i4,449,0.383073,0.05814,0.032491,45,2.741148,88,0.093018,false,NA,NA
TR90-c0_g1_i1,1124,0.501779,0.166667,-0.05,103,1.497407,312,0.216797,true,0.823584,F46H5.3b.3
TR90-c0_g2_i1,1258,0.503975,0.157729,-0.067308,112,1.437876,357,0.22876,true,0.903199,F46H5.3a.3
TR91-c0_g1_i1,406,0.448276,0.263736,0.258929,39,2.055029,46,0.083496,false,NA,NA
TR92-c0_g1_i1,335,0.495522,0.012048,0.04142,31,1.507695,56,0.077393,false,NA,NA
TR92-c0_g2_i1,335,0.498507,0.02994,0.035714,33,1.586994,56,0.077637,false,NA,NA
TR92-c0_g3_i1,335,0.498507,0.065868,0.0,32,1.544224,111,0.077637,false,NA,NA
TR93-c0_g1_i1,551,0.442831,0.032787,-0.003257,39,1.445319,108,0.120605,true,0.024126,F54E4.1a
TR93-c0_g2_i1,388,0.458763,-0.033708,-0.028571,31,1.520222,87,0.087891,true,0.024126,F54E4.1a
TR94-c0_g1_i1,261,0.37931,0.191919,0.222222,21,2.322458,66,0.057617,false,NA,NA
TR95-c0_g1_i1,237,0.388186,0.043478,-0.006897,16,1.795455,49,0.054199,false,NA,NA
TR95-c0_g2_i1,237,0.362869,-0.093023,0.046358,14,1.810147,49,0.053467,false,NA,NA
TR96-c0_g1_i1,320,0.35,-0.339286,-0.153846,13,1.499099,28,0.070801,false,NA,NA
TR96-c0_g2_i1,435,0.335632,-0.424658,-0.093426,10,0.995879,41,0.092041,false,NA,NA
TR97-c0_g1_i1,478,0.34728,0.13253,0.083333,35,2.471927,42,0.102051,false,NA,NA
TR97-c0_g2_i1,478,0.349372,0.125749,0.106109,35,2.438065,42,0.101318,false,NA,NA
TR98-c0_g1_i1,517,0.437137,0.035398,0.312715,46,1.864816,171,0.102783,false,NA,NA
TR99-c0_g1_i1,824,0.425971,0.111111,0.006342,86,2.32952,274,0.170898,true,0.213802,F46F11.9a
TR99-c0_g2_i1,830,0.425301,0.110482,0.006289,86,2.319641,276,0.173096,true,0.215029,F46F11.9b
TR100-c0_g1_i1,296,0.527027,0.371795,0.5,24,1.354949,98,0.025635,false,NA,NA
TR100-c0_g2_i1,270,0.533333,0.347222,0.507937,23,1.362141,89,0.034424,false,NA,NA
TR101-c0_g1_i1,238,0.441176,0.104762,-0.037594,21,1.833456,65,0.054199,false,NA,NA
TR101-c0_g2_i1,237,0.443038,0.085714,-0.030303,21,1.819079,65,0.053711,false,NA,NA
TR102-c0_g1_i1,649,0.440678,0.181818,0.256198,60,1.969352,216,0.134033,true,0.429894,Y110A7A.8
TR103-c0_g1_i1,321,0.302181,0.134021,0.116071,17,2.362338,35,0.066406,false,NA,NA
TR103-c0_g2_i1,322,0.301242,0.134021,0.12,17,2.369697,35,0.066406,false,NA,NA
TR104-c0_g1_i1,575,0.446957,-0.058366,-0.125786,59,2.061558,55,0.125488,false,NA,NA
TR105-c0_g1_i1,472,0.512712,0.107438,0.017391,70,2.283029,157,0.106445,false,NA,NA
TR105-c0_g2_i1,472,0.508475,0.125,0.017241,66,2.197672,133,0.106201,false,NA,NA
TR106-c0_g1_i1,346,0.364162,0.190476,-0.218182,13,1.175948,36,0.069092,false,NA,NA
TR106-c0_g2_i1,345,0.365217,0.190476,-0.214612,13,1.172549,36,0.069092,false,NA,NA
TR107-c0_g1_i1,457,0.317287,0.117241,0.173077,29,2.55652,56,0.094971,true,0.135891,M01E11.7b.2
TR108-c0_g1_i1,409,0.366748,0.026667,-0.258687,26,1.891834,136,0.0896,true,0.301988,C18B10.6
TR108-c0_g2_i1,410,0.358537,0.034014,-0.239544,27,2.05152,106,0.089111,false,NA,NA
TR109-c0_g1_i1,753,0.367862,0.025271,-0.008403,51,2.003286,88,0.152344,false,NA,NA
TR109-c0_g2_i1,666,0.391892,0.042146,0.007407,50,1.958824,139,0.136719,true,0.354484,C34C6.5c
TR110-c0_g1_i1,304,0.434211,0.045455,-0.011628,33,2.307798,101,0.066406,false,NA,NA
TR110-c0_g2_i1,334,0.437126,0.041096,0.031915,37,2.322932,42,0.072754,false,NA,NA
TR110-c0_g3_i1,254,0.444882,0.044248,0.148936,28,2.232266,61,0.058838,false,NA,NA
TR111-c0_g1_i1,638,0.420063,0.08209,0.145946,43,1.538211,212,0.134277,true,0.379085,T05D4.4b
TR111-c0_g2_i1,526,0.43346,0.105263,0.194631,40,1.637099,174,0.114746,true,0.309566,T05D4.4b
TR112-c0_g1_i1,328,0.414634,0.264706,0.052083,19,1.449302,92,0.07251,true,0.202802,F26E4.3.2
TR113-c0_g1_i1,414,0.432367,-0.027933,0.038298,33,1.706897,137,0.091064,false,NA,NA
TR114-c0_g1_i1,295,0.4,-0.101695,-0.084746,18,1.541364,98,0.068115,false,NA,NA
TR114-c0_g2_i1,565,0.40354,0.061404,0.026706,31,1.352823,138,0.114746,true,0.320988,C23H3.9d
TR115-c0_g1_i1,485,0.362887,0.045455,0.229773,34,2.133799,63,0.10083,false,NA,NA
TR116-c0_g1_i1,484,0.454545,0.063636,-0.333333,60,2.409759,161,0.103516,false,NA,NA
TR116-c0_g2_i1,483,0.453416,0.123288,-0.219697,58,2.372459,83,0.103271,false,NA,NA
TR117-c0_g1_i1,1349,0.409933,-0.175407,-0.198492,106,1.929744,362,0.234131,true,1.001857,R186.7
TR117-c0_g2_i1,1072,0.426306,-0.199125,-0.349593,92,1.966894,356,0.187256,true,0.982358,R186.7
TR118-c0_g1_i1,758,0.465699,-0.110482,0.165432,66,1.625764,176,0.150146,true,0.866013,T07A9.14
TR118-c0_g2_i1,716,0.473464,-0.115044,0.167109,64,1.616367,63,0.141846,false,NA,NA
TR119-c0_g1_i1,1524,0.377297,-0.092174,-0.093783,97,1.803792,480,0.270996,true,0.974983,K07H8.1
TR119-c0_g2_i1,272,0.389706,-0.207547,-0.048193,14,1.416667,85,0.060791,true,0.088573,K07H8.1
TR120-c0_g1_i1,824,0.413835,0.038123,-0.035197,87,2.469616,183,0.164307,true,0.986817,Y57G11C.33a
TR120-c0_g2_i1,931,0.397422,0.043243,0.012478,93,2.534557,177,0.177246,true,1.003766,Y57G11C.33a
TR120-c0_g3_i1,824,0.416262,0.037901,-0.051975,88,2.468914,177,0.163818,true,1.003766,Y57G11C.33a
TR120-c0_g4_i1,931,0.38131,0.076056,-0.059028,86,2.556059,72,0.178467,true,0.93597,Y57G11C.33a
TR121-c0_g1_i1,291,0.312715,0.230769,-0.07,7,1.039286,60,0.065186,false,NA,NA
TR122-c0_g1_i1,450,0.437778,0.055838,-0.106719,46,2.140199,147,0.103516,false,NA,NA
TR122-c0_g2_i1,426,0.467136,0.095477,-0.101322,45,1.954128,141,0.095703,false,NA,NA
TR123-c0_g1_i1,1496,0.360294,0.03525,-0.011494,76,1.567356,387,0.258789,true,1.001778,ZC155.4
TR124-c0_g1_i1,948,0.416667,0.073418,0.059675,89,2.17476,268,0.185059,true,0.258808,Y57G11C.499
TR124-c0_g1_i2,299,0.394649,0.101695,0.049724,25,2.169811,73,0.066162,false,NA,NA
TR124-c0_g2_i1,414,0.34058,-0.219858,0.025641,22,1.925581,70,0.088379,false,NA,NA
TR124-c0_g3_i1,414,0.338164,-0.214286,0.029197,22,1.948235,100,0.088867,false,NA,NA
TR125-c0_g1_i1,368,0.407609,0.226667,-0.100917,22,1.517241,122,0.083008,true,0.255024,C50E3.5
TR125-c0_g2_i1,623,0.422151,-0.125475,0.05,59,2.159636,207,0.128418,true,0.400554,C50E3.5
TR125-c0_g3_i1,367,0.405995,0.208054,-0.045872,22,1.520527,121,0.083008,true,0.238392,C50E3.5
